INFO  | 2022-09-24 10:19:51,335(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:32) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:20:52,815(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:32) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:22:48,194(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:32) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:22:50,701(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:32) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,784(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,792(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,794(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,795(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,797(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,799(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,800(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,802(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
INFO  | 2022-09-24 10:23:43,807(yyyy-MM-dd HH:mm:ss) | [main] javapractice.Queue (Queue.java:33) - new class com.javapractice.Cardadded to queue
